ranking_date,current_rank,player,current_points,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
20240304,23,200221,1595,200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP,183.0,Q33084529
20240923,23,200615,1825,200615,Alexei,Popyrin,R,19990805.0,AUS,196.0,Q30143529
20240115,23,208103,1555,208103,Jiri,Lehecka,R,20011108.0,CZE,185.0,Q61415365
20240422,24,105526,1628,105526,Jan Lennard,Struff,R,19900425.0,GER,193.0,Q1681537
20241111,25,207830,1758,207830,Tomas,Machac,R,20001013.0,CZE,183.0,Q61594997
20241111,26,111442,1745,111442,Jordan,Thompson,R,19940420.0,AUS,183.0,Q16219277
20240219,27,144869,1470,144869,Tomas Martin,Etcheverry,R,19990718.0,ARG,196.0,Q104728520
20240617,29,208363,1382,208363,Mariano,Navone,R,20010227.0,ARG,178.0,
20240812,29,208286,1485,208286,Matteo,Arnaldi,R,20010222.0,ITA,185.0,
20240916,30,132686,1515,132686,Nuno,Borges,R,19970219.0,POR,185.0,Q106238976
20241014,30,207925,1527,207925,Flavio,Cobolli,R,20020506.0,ITA,183.0,Q64347071
20240722,30,104792,1360,104792,Gael,Monfils,R,19860901.0,FRA,193.0,Q186429
20241104,30,208659,1561,208659,Giovanni,Mpetshi Perricard,R,20030708.0,FRA,203.0,Q107207704
